uid,neuron,phase,n_neurons_recording,n_time,n_windows,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2023-01-16-15,URYVR,spontaneous,70,802,50,-0.01670640753778632,-1.1024502026180316,0.008556365153919332,1.1585158578583452
2023-01-16-15,AINR,spontaneous,70,802,50,-0.000664701211290055,-0.043863408899234346,0.014262381912591835,2.5509502946453764
2023-01-16-15,IL2VL,spontaneous,70,802,50,-0.008666974445567233,-0.5719307225081001,-0.0009229177921532405,-1.1547055307921623
2023-01-16-15,ASEL,spontaneous,70,802,50,0.008347641247645168,0.5508580324066773,0.010220960939939282,1.5647257576561153
2023-01-16-15,OLLR,spontaneous,70,802,50,0.012615726175549864,0.8325075182651421,0.003237039546549171,-0.13955466479264142
2023-01-16-22,URAVR,spontaneous,73,802,50,-0.009098318310558351,-0.6634817823848559,0.0050037779531778934,1.5697236062329298
2023-01-16-22,AIYL,spontaneous,73,802,50,0.0028457970035502423,0.20752565515649943,0.002809228189793911,0.6901395308661626
2023-01-16-22,AVDL,spontaneous,73,802,50,-0.006790064260524926,-0.49515567430222335,0.0023044367298475795,0.48781715159813493
2023-01-16-22,RICR,spontaneous,73,802,50,-0.018188994905571323,-1.3264063036498581,0.002768103410925989,0.6736565596441175
2023-01-16-22,SMDVL,spontaneous,73,802,50,0.014293393815610142,1.0423251947675272,0.0013205129288136079,0.0934566676374924
2023-01-16-22,AVJL,spontaneous,73,802,50,0.0026030812507379744,0.18982595782871017,0.0020644476089833686,0.39162857911940935
2023-01-16-22,RMEV,spontaneous,73,802,50,0.024626888890533702,1.7958804669126127,0.0005078200964181111,-0.2322737785190468
2023-01-16-22,IL1R,spontaneous,73,802,50,0.018280417787812683,1.3330731859010394,0.0004904516660193866,-0.2392351129338459
2023-01-16-22,CEPDL,spontaneous,73,802,50,-0.011185357199660505,-0.8156760928917861,-0.005676016146784063,-2.7107793813308363
2023-01-16-22,IL1VR,spontaneous,73,802,50,-0.00475075430482213,-0.3464419276448108,0.0018126100238016398,0.2906910960873091
2023-01-16-22,IL1DR,spontaneous,73,802,50,-0.010546161269451706,-0.7690636486364637,0.0023551679345944236,0.5081504156525748
2023-01-16-22,RMDVL,spontaneous,73,802,50,-0.021617479182950594,-1.576423590536192,0.0017652974088073698,0.27172801609373987
2023-01-16-22,AVBL,spontaneous,73,802,50,0.02095508000762861,1.5281190829896851,0.0005570168962955205,-0.21255550990049937
2023-01-16-22,IL2DR,spontaneous,73,802,50,-0.0030732979653439094,-0.22411583572316154,0.002457139753490381,0.5490211170299554
